Timestamp,Pessoas Detectadas,Energia Simulada (W),Observação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,6,600,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,9,900,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,9,900,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,8,800,Alta ocupação
2025-06-02 23:08:33,7,700,Alta ocupação
2025-06-02 23:08:34,7,700,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:34,8,800,Alta ocupação
2025-06-02 23:08:34,7,700,Alta ocupação
2025-06-02 23:08:34,7,700,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:34,10,1000,Alta ocupação
2025-06-02 23:08:34,10,1000,Alta ocupação
2025-06-02 23:08:34,10,1000,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:34,9,900,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,10,1000,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,7,700,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
